Month,E,U,Us
"Jun
2008",145737,8575,2753
"Jul
2008",145532,8937,2854
"Aug
2008",145203,9438,3256
"Sep
2008",145076,9494,2848
"Oct
2008",144802,10074,3170
"Nov
2008",144100,10538,3335
"Dec
2008",143369,11286,3255
"Jan
2009",142152,12058,3524
"Feb
2009",141640,12898,3450
"Mar
2009",140707,13426,3465
"Apr
2009",140656,13853,3338
"May
2009",140248,14499,3246
"Jun
2009",140009,14707,3114
"Jul
2009",139901,14601,3137
"Aug
2009",139492,14814,2940
"Sep
2009",138818,15009,2841
"Oct
2009",138432,15352,3223
"Nov
2009",138659,15219,2816
"Dec
2009",138013,15098,2879
"Jan
2010",138438,15046,2921
"Feb
2010",138581,15113,2807
"Mar
2010",138751,15202,2769
"Apr
2010",139297,15325,2725
"May
2010",139241,14849,2773
"Jun
2010",139141,14474,2683
"Jul
2010",139179,14512,2806
"Aug
2010",139438,14648,2671
"Sep
2010",139396,14579,2819
"Oct
2010",139119,14516,2655
"Nov
2010",139044,15081,2912
"Dec
2010",139301,14348,2693
"Jan
2011",139250,14013,2686
"Feb
2011",139394,13820,2469
"Mar
2011",139639,13737,2535
"Apr
2011",139586,13957,2787
"May
2011",139624,13855,2668
"Jun
2011",139384,13962,2933
"Jul
2011",139524,13763,2632
"Aug
2011",139942,13818,2650
"Sep
2011",140183,13948,2754
"Oct
2011",140368,13594,2668
"Nov
2011",140826,13302,2556
"Dec
2011",140902,13093,2678
"Jan
2012",141584,12797,2474
"Feb
2012",141858,12813,2610
"Mar
2012",142036,12713,2708
"Apr
2012",141899,12646,2624
"May
2012",142206,12660,2550
"Jun
2012",142391,12692,2747
"Jul
2012",142292,12656,2662
"Aug
2012",142291,12471,2784
"Sep
2012",143044,12115,2538
"Oct
2012",143431,12124,2635
"Nov
2012",143333,12005,2620
"Dec
2012",143330,12298,2756
"Jan
2013",143292,12471,2780
"Feb
2013",143362,11950,2713
"Mar
2013",143316,11689,2462
"Apr
2013",143635,11760,2487
"May
2013",143882,11654,2674
"Jun
2013",143999,11751,2680
"Jul
2013",144264,11335,2493
"Aug
2013",144326,11279,2475
"Sep
2013",144418,11270,2604
"Oct
2013",143537,11136,2823
"Nov
2013",144479,10787,2409
"Dec
2013",144778,10404,2328
"Jan
2014",145150,10202,2473
